debut : 2020-06-06 10:36:50.374065
Evaluation data set is:[0]
Evaluation data set is:../CorpusAnnote3cat/groupsAll/group0
true positives:	ولا يليق بالمرشح أن يكتفي بقهوة أبي الفضل لأن الذي لا يشرب قهوة أبي نواس يبخل عليه الفرنسيون بلقب «مسيو»!	59	72	قهوة أبي نواس	LOC-Build
False positives:	ولا يليق بالمرشح أن يكتفي بقهوة أبي الفضل لأن الذي لا يشرب قهوة أبي نواس يبخل عليه الفرنسيون بلقب «مسيو»!	27	41	قهوة أبي الفضل	LOC-Build
true positives:	منظر القصر الكبير للفنون الجميلة.	5	17	القصر الكبير	LOC-Build
False positives:	قد كان خطابي فعلاً مثيراً، ولكنني أرى الآن أنه كان على جانب من البساطة يخجل أبسط البسطاء، وبطبيعة الحال لم يرسل جلالة الميكادو أسطوله لجدة لإنقاذ الموقف، بالإضافة إلى أن هذا الأسطول كان تلك الأيام مشغولا في حصار موانئ الصين.	212	223	موانئ الصين	LOC-Build
False negatives:	قد كان خطابي فعلاً مثيراً، ولكنني أرى الآن أنه كان على جانب من البساطة يخجل أبسط البسطاء، وبطبيعة الحال لم يرسل جلالة الميكادو أسطوله لجدة لإنقاذ الموقف، بالإضافة إلى أن هذا الأسطول كان تلك الأيام مشغولا في حصار موانئ الصين.	218	223	الصين	LOC-Admin
False positives:	أيها القارئ!	113	124		LOC-Admin
true positives:	وكذلك العمال والصناع، وسائر طبقات الناس؛ فإنهم نشيطون في ذهابهم وإيابهم في كلامهم وأشغالهم وفي أسفارهم؛ فإن أحدهم ينزل من القطار ويحمل حقيبته (الشنطة) بيده، فإذا كان منزله قريبًا سار إلى بيته ماشيًا لا يرون في ذلك بأسًا، على أنهم إذا طلبوا غلامًا أو رجلًا يحمل لهم الحقيبة في أثناء الطريق لا يجدون، وهي صفة يشترك فيها أهل أوروبا كافة، ويتأثر بها الشرقي حالما يطأ تلك القارة.	322	328	أوروبا	LOC-Admin
False positives:	وكذلك العمال والصناع، وسائر طبقات الناس؛ فإنهم نشيطون في ذهابهم وإيابهم في كلامهم وأشغالهم وفي أسفارهم؛ فإن أحدهم ينزل من القطار ويحمل حقيبته (الشنطة) بيده، فإذا كان منزله قريبًا سار إلى بيته ماشيًا لا يرون في ذلك بأسًا، على أنهم إذا طلبوا غلامًا أو رجلًا يحمل لهم الحقيبة في أثناء الطريق لا يجدون، وهي صفة يشترك فيها أهل أوروبا كافة، ويتأثر بها الشرقي حالما يطأ تلك القارة.	346	352	الشرقي	LOC-Admin
true positives:	بالإضافة إلى أن الأحداث حولنا كانت تتوالى، يمحو اللاحق السابق منها في ذهننا، فهاهو ذا يأتي من الجزائر نبأ يثير اهتمامنا أكثر من غيره؛ إن وفداً من اتحادية النواب سيحل قريباً في باريس، ليقدم مطالب الشعب الجزائري؛ وحسب ادعاء ذلك الوفد، فهذا يعني في الحقيقة أن يقدم بعض المقترحات المعقولة، خصوصاً في نطاق القانون الأهلي.	176	181	باريس	LOC-Admin
False positives:	بالإضافة إلى أن الأحداث حولنا كانت تتوالى، يمحو اللاحق السابق منها في ذهننا، فهاهو ذا يأتي من الجزائر نبأ يثير اهتمامنا أكثر من غيره؛ إن وفداً من اتحادية النواب سيحل قريباً في باريس، ليقدم مطالب الشعب الجزائري؛ وحسب ادعاء ذلك الوفد، فهذا يعني في الحقيقة أن يقدم بعض المقترحات المعقولة، خصوصاً في نطاق القانون الأهلي.	94	101	الجزائر	LOC-Admin
